ZIP Code,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,id
94618,Oakland,CA,37.843726,-122.24369,-8,1,"37.843726,-122.24369",18
94701,Berkeley,CA,37.860576,-122.29673,-8,1,"37.860576,-122.29673",18
94703,Berkeley,CA,37.862526,-122.27582,-8,1,"37.862526,-122.27582",18
94704,Berkeley,CA,37.868575,-122.25855,-8,1,"37.868575,-122.25855",18
94705,Berkeley,CA,37.856926,-122.25084,-8,1,"37.856926,-122.25084",18
94706,Albany,CA,37.889125,-122.29371,-8,1,"37.889125,-122.29371",18
94707,Berkeley,CA,37.894625,-122.27917,-8,1,"37.894625,-122.27917",18
94708,Berkeley,CA,37.894625,-122.26372,-8,1,"37.894625,-122.26372",18
94709,Berkeley,CA,37.879625,-122.2668,-8,1,"37.879625,-122.2668",18
94710,Berkeley,CA,37.869976,-122.2981,-8,1,"37.869976,-122.2981",18
94720,Berkeley,CA,37.866825,-122.253582,-8,1,"37.866825,-122.253582",18
94801,Richmond,CA,37.941424,-122.36628,-8,1,"37.941424,-122.36628",1113
94803,El Sobrante,CA,37.969673,-122.29413,-8,1,"37.969673,-122.29413",1113
94806,San Pablo,CA,37.972623,-122.33873,-8,1,"37.972623,-122.33873",1113
94901,San Rafael,CA,37.972423,-122.51484,-8,1,"37.972423,-122.51484",1043
94904,Greenbrae,CA,37.950069,-122.54284,-8,1,"37.950069,-122.54284",1043
94920,Belvedere Tiburon,CA,37.892476,-122.47541,-8,1,"37.892476,-122.47541",1043
94923,Bodega Bay,CA,38.347701,-123.05869,-8,1,"38.347701,-123.05869",3166
94928,Rohnert Park,CA,38.347174,-122.69537,-8,1,"38.347174,-122.69537",3166
94939,Larkspur,CA,37.936151,-122.5355,-8,1,"37.936151,-122.5355",1043
94949,Novato,CA,38.06317,-122.54111,-8,1,"38.06317,-122.54111",1043
94960,San Anselmo,CA,37.981623,-122.56884,-8,1,"37.981623,-122.56884",1043
94965,Sausalito,CA,37.855527,-122.49949,-8,1,"37.855527,-122.49949",1043
94970,Stinson Beach,CA,37.903396,-122.65043,-8,1,"37.903396,-122.65043",1043
94998,Novato,CA,38.117269,-122.568442,-8,1,"38.117269,-122.568442",1043
95003,Aptos,CA,36.979333,-121.8944,-8,1,"36.979333,-121.8944",1796
95005,Ben Lomond,CA,37.084347,-122.08524,-8,1,"37.084347,-122.08524",1796
95006,Boulder Creek,CA,37.151813,-122.13679,-8,1,"37.151813,-122.13679",1796
95008,Campbell,CA,37.278843,-121.95446,-8,1,"37.278843,-121.95446",25
95010,Capitola,CA,36.9761,-121.95316,-8,1,"36.9761,-121.95316",1796
95014,Cupertino,CA,37.317909,-122.04779,-8,1,"37.317909,-122.04779",25
95020,Gilroy,CA,37.016943,-121.56581,-8,1,"37.016943,-121.56581",25
95023,Hollister,CA,36.862243,-121.38006,-8,1,"36.862243,-121.38006",334
95032,Los Gatos,CA,37.241193,-121.9534,-8,1,"37.241193,-121.9534",25
95035,Milpitas,CA,37.436451,-121.89438,-8,1,"37.436451,-121.89438",25
